2026-05-12 17:20:53,310 | INFO | stock_hawk | Token loaded successfully for Dilip Jayantilal Shah
2026-05-12 17:20:54,020 | INFO | stock_hawk | Token loaded successfully for Dilip Jayantilal Shah
2026-05-12 17:20:54,021 | INFO | stock_hawk | Downloading instrument list...
2026-05-12 17:20:57,893 | INFO | stock_hawk | Building trend data for BANKNIFTY... (6/20)
2026-05-12 17:21:14,995 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:21:33,043 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:21:50,955 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:22:08,971 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:22:23,963 | INFO | stock_hawk | Building trend data for NIFTY... (19/20)
2026-05-12 17:22:23,963 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:22:39,098 | INFO | stock_hawk | Building trend data for NIFTY... (14/20)
2026-05-12 17:22:39,098 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:22:54,600 | INFO | stock_hawk | Building trend data for NIFTY... (11/20)
2026-05-12 17:22:54,601 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:23:11,977 | INFO | stock_hawk | Building trend data for NIFTY... (11/20)
2026-05-12 17:23:11,977 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:23:29,975 | INFO | stock_hawk | Building trend data for NIFTY... (7/20)
2026-05-12 17:23:29,975 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:23:45,013 | INFO | stock_hawk | Building trend data for NIFTY... (2/20)
2026-05-12 17:23:45,013 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:24:02,953 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:24:02,954 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:24:17,976 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:24:17,976 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:24:33,074 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:24:33,074 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:24:51,008 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:24:51,008 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:25:06,066 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:25:06,066 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:25:24,067 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:25:24,067 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:25:39,075 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:25:39,075 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:25:57,007 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:25:57,007 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:26:12,127 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:26:12,127 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:26:30,177 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:26:30,177 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:26:48,036 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:26:48,036 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:27:03,273 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:27:03,273 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:27:21,705 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:27:21,705 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:27:39,223 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:27:39,223 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:27:57,093 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:27:57,094 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:28:15,085 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:28:15,086 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:28:33,033 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:28:33,033 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:28:48,082 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:28:48,082 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:29:05,987 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:29:05,987 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:29:21,025 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:29:21,025 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:29:39,029 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:29:39,029 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:29:54,049 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:29:54,049 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:30:09,512 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:30:09,512 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:30:10,437 | INFO | stock_hawk | Milestone interval set to 1 minutes
2026-05-12 17:30:27,008 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:30:27,008 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:30:42,008 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:30:42,008 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:30:57,022 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:30:57,022 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:31:12,124 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:31:12,124 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:31:30,017 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:31:30,017 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:31:45,021 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:31:45,022 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:32:00,119 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:32:00,119 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:32:18,075 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:32:18,075 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:32:33,242 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:32:33,243 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:32:51,013 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:32:51,013 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
2026-05-12 17:33:06,224 | INFO | stock_hawk | Building trend data for NIFTY... (0/20)
2026-05-12 17:33:06,224 | INFO | stock_hawk | Building trend data for BANKNIFTY... (0/20)
